// DefragMatchGradeId,DefragMatchId,ClassNum,GradeName,ClassName,PromotionLineLeagueScore,DemotionLineLeagueScore,LeagueScoreDecreaseFlag,TargetLeaguePoint1,TargetLeaguePoint2,MvpAddLeaguePoint,MobLevel,NormalBossLevel,AdaptableLevel,PunisherLevel,PunisherAppearanceRate,CpuLevel,RecordMedalDropNum,TargetLeaguePointCoefficient,RewardTableSubId
1,1,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,1000,2000,500,10,10,10,100,0,20,6,0,300000
2,1,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,2000,4000,1000,15,15,15,100,0,35,6,0,300000
3,1,3,"スタンダードリーグ・クラスサード","Class Third",20,0,False,3000,6000,1500,20,20,20,100,0,40,8,10,300000
4,1,4,"スタンダードリーグ・クラスセカンド","Class Second",30,0,False,4000,8000,2000,30,30,30,100,0,50,8,10,300000
5,1,5,"スタンダードリーグ・クラスファースト","Class First",50,0,False,5000,10000,2500,40,40,40,100,0,60,8,20,300000
6,1,6,"アドミンリーグ・クラスフィフス","Class Fifth",80,45,True,6500,13000,4000,50,50,50,100,5,70,8,30,300000
7,1,7,"アドミンリーグ・クラスフォース","Class Fourth",130,75,True,8000,16000,5000,60,60,60,100,10,80,10,30,300000
8,1,8,"アドミンリーグ・クラスサード","Class Third",200,125,True,10000,20000,6500,70,70,70,100,15,90,10,40,300000
9,1,9,"アドミンリーグ・クラスセカンド","Class Second",300,195,True,12000,24000,8000,80,80,80,100,20,100,10,40,300000
10,1,10,"アドミンリーグ・クラスファースト","Class First",30000,295,True,15000,30000,10000,90,90,90,100,30,100,10,50,300000
11,2,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,1000,2000,500,10,10,10,100,0,20,8,0,300000
12,2,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,1500,3000,1000,15,15,15,100,0,35,8,0,300000
13,2,3,"スタンダードリーグ・クラスサード","Class Third",20,0,False,2000,4000,1500,20,20,20,100,0,40,8,10,300000
14,2,4,"スタンダードリーグ・クラスセカンド","Class Second",30,0,False,2500,5000,2000,30,30,30,100,0,50,8,10,300000
15,2,5,"スタンダードリーグ・クラスファースト","Class First",50,0,False,3000,6000,2500,40,40,40,100,0,60,10,20,300000
16,2,6,"アドミンリーグ・クラスフィフス","Class Fifth",80,45,True,4000,8000,3000,50,50,50,100,5,70,10,30,300000
17,2,7,"アドミンリーグ・クラスフォース","Class Fourth",130,75,True,5000,10000,4000,60,60,60,100,10,80,10,30,300000
18,2,8,"アドミンリーグ・クラスサード","Class Third",200,125,True,6000,12000,5000,70,70,70,100,15,90,12,40,300000
19,2,9,"アドミンリーグ・クラスセカンド","Class Second",300,195,True,8000,16000,6000,80,80,80,100,20,100,12,40,300000
20,2,10,"アドミンリーグ・クラスファースト","Class First",30000,295,True,10000,20000,7000,90,90,90,100,30,100,12,50,300000
21,3,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,2000,4000,10000,10,10,10,100,0,30,10,0,300000
22,3,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,2500,5000,10000,15,15,15,100,0,35,10,0,300000
23,3,3,"スタンダードリーグ・クラスサード","Class Third",20,0,False,3000,6000,10000,20,20,20,100,0,40,10,10,300000
24,3,4,"スタンダードリーグ・クラスセカンド","Class Second",30,0,False,3500,7000,10000,30,30,30,100,0,50,10,10,300000
25,3,5,"スタンダードリーグ・クラスファースト","Class First",50,0,False,4000,8000,10000,40,40,40,100,0,60,10,20,300000
26,3,6,"アドミンリーグ・クラスフィフス","Class Fifth",80,45,True,6000,12000,11000,50,50,50,100,5,70,10,30,300000
27,3,7,"アドミンリーグ・クラスフォース","Class Fourth",130,75,True,7000,14000,12000,55,55,55,100,10,80,10,30,300000
28,3,8,"アドミンリーグ・クラスサード","Class Third",200,125,True,8000,16000,13000,60,60,60,100,15,90,10,40,300000
29,3,9,"アドミンリーグ・クラスセカンド","Class Second",300,195,True,10000,20000,14000,65,65,65,100,20,100,10,40,300000
30,3,10,"アドミンリーグ・クラスファースト","Class First",30000,295,True,30000,60000,15000,70,70,70,100,30,100,10,50,300000
31,4,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,300400
32,4,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,5500,11000,11000,10,10,10,100,0,30,10,0,300400
33,4,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,6000,12000,12000,10,10,10,100,0,30,10,0,300400
34,4,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,6500,13000,13000,10,10,10,100,0,30,10,0,300401
35,4,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,7000,14000,14000,10,10,10,100,0,30,10,0,300401
36,4,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,15000,30000,15000,40,40,40,100,5,60,10,20,300402
37,4,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,16000,32000,16000,40,40,40,100,10,60,10,20,300402
38,4,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,17000,34000,17000,40,40,40,100,15,60,10,20,300403
39,4,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,18000,36000,18000,40,40,40,100,20,60,10,20,300403
40,4,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,50000,100000,25000,70,70,70,100,30,100,10,60,300404
41,5,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,300500
42,5,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,5500,11000,11000,10,10,10,100,0,30,10,0,300500
43,5,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,6000,12000,12000,10,10,10,100,0,30,10,0,300500
44,5,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,6500,13000,13000,10,10,10,100,0,30,10,0,300501
45,5,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,7000,14000,14000,10,10,10,100,0,30,10,0,300501
46,5,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,15000,30000,15000,40,40,40,100,5,60,10,20,300502
47,5,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,16000,32000,16000,40,40,40,100,10,60,10,20,300502
48,5,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,17000,34000,17000,40,40,40,100,15,60,10,20,300503
49,5,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,18000,36000,18000,40,40,40,100,20,60,10,20,300503
50,5,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,50000,100000,25000,70,70,70,100,30,100,10,60,300504
51,6,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,300600
52,6,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,300600
53,6,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,300600
54,6,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,300601
55,6,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,300601
56,6,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,300602
57,6,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,300602
58,6,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,300603
59,6,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,300603
60,6,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,300604
61,7,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,300700
62,7,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,300700
63,7,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,300700
64,7,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,300701
65,7,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,300701
66,7,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,300702
67,7,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,300702
68,7,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,300703
69,7,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,300703
70,7,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,300704
71,8,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,300800
72,8,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,300800
73,8,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,300800
74,8,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,300801
75,8,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,300801
76,8,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,300802
77,8,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,300802
78,8,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,300803
79,8,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,300803
80,8,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,300804
81,9,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,300900
82,9,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,300900
83,9,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,300900
84,9,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,300901
85,9,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,300901
86,9,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,300902
87,9,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,300902
88,9,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,300903
89,9,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,300903
90,9,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,300904
91,10,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,301000
92,10,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,301000
93,10,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,301000
94,10,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,301001
95,10,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,301001
96,10,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,301002
97,10,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,301002
98,10,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,301003
99,10,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,301003
100,10,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,301004
101,11,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,301100
102,11,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,301100
103,11,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,301100
104,11,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,301101
105,11,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,301101
106,11,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,301102
107,11,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,301102
108,11,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,301103
109,11,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,301103
110,11,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,301104
111,12,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,301200
112,12,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,301200
113,12,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,301200
114,12,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,301201
115,12,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,301201
116,12,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,301202
117,12,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,301202
118,12,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,301203
119,12,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,301203
120,12,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,301204
121,13,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,30,5,30,10,0,301300
122,13,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,30,5,30,10,0,301300
123,13,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,50,5,30,10,0,301300
124,13,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,50,5,30,10,0,301301
125,13,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,70,5,30,10,0,301301
126,13,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,15,60,10,20,301302
127,13,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,20,60,10,20,301302
128,13,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,25,60,10,20,301303
129,13,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,30,60,10,20,301303
130,13,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,40,100,10,60,301304
131,14,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,301400
132,14,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,301400
133,14,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,301400
134,14,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,301401
135,14,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,301401
136,14,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,301402
137,14,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,301402
138,14,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,301403
139,14,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,301403
140,14,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,301404
141,15,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,100,0,30,10,0,301500
142,15,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,100,0,30,10,0,301500
143,15,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,100,0,30,10,0,301500
144,15,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,100,0,30,10,0,301501
145,15,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,100,0,30,10,0,301501
146,15,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,301502
147,15,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,301502
148,15,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,301503
149,15,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,301503
150,15,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,301504
151,16,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,30,5,30,10,0,301600
152,16,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,30,5,30,10,0,301600
153,16,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,50,5,30,10,0,301600
154,16,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,50,5,30,10,0,301601
155,16,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,70,5,30,10,0,301601
156,16,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,15,60,10,20,301602
157,16,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,20,60,10,20,301602
158,16,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,25,60,10,20,301603
159,16,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,30,60,10,20,301603
160,16,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,40,100,10,60,301604
161,17,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,5000,10000,10000,10,10,10,70,0,30,10,0,301700
162,17,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,7500,15000,11000,10,10,10,70,0,30,10,0,301700
163,17,3,"スタンダードリーグ・クラスサード","Class Third",15,0,False,10000,20000,12000,10,10,10,70,0,30,10,0,301700
164,17,4,"スタンダードリーグ・クラスセカンド","Class Second",20,0,False,15000,30000,13000,10,10,10,70,0,30,10,0,301700
165,17,5,"スタンダードリーグ・クラスファースト","Class First",30,0,False,20000,40000,14000,10,10,10,70,0,30,10,0,301700
166,17,6,"アドミンリーグ・クラスフィフス","Class Fifth",40,29,True,30000,60000,15000,40,40,40,100,5,60,10,20,301700
167,17,7,"アドミンリーグ・クラスフォース","Class Fourth",55,39,True,35000,70000,16000,40,40,40,100,10,60,10,20,301700
168,17,8,"アドミンリーグ・クラスサード","Class Third",75,54,True,40000,80000,17000,40,40,40,100,15,60,10,20,301700
169,17,9,"アドミンリーグ・クラスセカンド","Class Second",100,74,True,45000,90000,18000,40,40,40,100,20,60,10,20,301700
170,17,10,"アドミンリーグ・クラスファースト","Class First",30000,99,True,70000,140000,25000,70,70,70,100,30,100,10,60,301700
