// EnemyKindId,EnemyCategoryId,Name,IconFilepath,WeakPhysicsAttr,WeakMagicAttr,WeakText,ResistText,FlavorText,CollectionDisplayStartDate,CollectionEmptyFrameDisplayFlag
15010000,8,"ファフニール","MONS_15010000",0,2,"水・土","火","巨大な飛竜。名称から≪ALO≫<br>由来の個体と推測される。突進<br>攻撃と口から吐き出す火球に注<br>意が必要。","2019/01/01",True
15010100,8,"ヴィゾーヴニル","MONS_15010100",0,5,"土・聖",,"≪ファフニール≫の同系統種。<br>やや小型だが攻撃力は高くなっ<br>ており、闇属性の攻撃を行う。<br>尾部が弱点。","2019/01/01",True
15010200,8,"クン・リンドルム","MONS_15010200",0,4,"土","火","≪竜王≫の名を冠し、同系統種<br>の中でも非常に強力な個体。火<br>球による飽和攻撃を行うため、<br>属性対策を強く推奨。","2019/01/01",True
15020000,6,"ヒルディスヴィーニ","MONS_15020000",0,2,"水","斬・突・土","巨大な拳で周囲を破壊する個<br>体。怒り状態に行う回転攻撃は<br>非常に危険なため、防御を行う<br>ことを推奨。","2019/01/01",True
15020100,6,"グリンブルスティ","MONS_15020100",0,6,"闇","斬・突・土","≪ヒルディスヴィー二≫の同系<br>統種と同定。土属性の強力な攻<br>撃を行うため属性対策を推奨。","2019/01/01",True
15020200,6,"アウドムラ","MONS_15020200",0,5,"聖","斬・突・火・土","同系統他種に比べ、各種能力が<br>高くなっている。耐久力が非常<br>に高く、斬・突攻撃への耐性も<br>持つため対策を強く推奨。","2019/01/01",True
15040000,6,"オーディン","MONS_15040000",0,6,"闇","聖","北欧神話最高神の名を冠する個<br>体。その名に違わず非常に危険<br>度が高い。聖属性攻撃への対策<br>を推奨。","2019/01/01",True
15040100,6,"ジークフリート","MONS_15040100",0,2,"水","火","北欧神話の著名な英雄の名を冠<br>する個体。その名に恥じぬ高い<br>攻撃力と豊富な技を併せ持つ。<br>行動の見極めが非常に重要。","2019/01/01",True
15040200,6,"ロキ","MONS_15040200",0,5,"聖",,"北欧神の名を冠する個体。状態<br>異常攻撃のほか、特定条件下で<br>は分身を生み出す。本体を見抜<br>き、集中的に狙うことを推奨。","2019/01/01",True
15040300,6,"フリュム","MONS_15040300",0,5,"聖",,"大きな鎌を持った死神の姿をも<br>つ個体。大鎌を使い遠近多様な<br>攻撃を行う。また、Mobを召喚<br>するという情報もある。","2019/01/01",True
15040400,6,"バルドル","MONS_15040400",0,6,"闇",,"北欧神の名を冠するため≪ALO<br>≫由来の個体と推測される。槍<br>による激しい攻撃が特徴。聖属<br>性への対策も推奨。","2019/01/01",True
15040500,6,"フルングニル","MONS_15040500",0,6,"闇",,"≪ドルグスラシル≫の同系統種<br>と同定。強力な混乱・封印の状<br>態異常攻撃を行ってくる一方、<br>同状態異常への耐性は低い。","2019/01/01",True
15040600,6,"ヴァーリ","MONS_15040600",0,5,"聖",,"≪バルドル≫と同系統種の個<br>体。闇属性への対策を推奨。<br>怒り状態となった後の痛烈な攻<br>撃には要注意。","2019/01/01",True
15040700,6,"ジークムント","MONS_15040700",0,2,"水",,"二対の腕と大斧。広い攻撃範囲<br>と高い攻撃力を持つ強力かつ危<br>険な個体。召喚したゴーレムとの<br>連携にも注意が必要。","2019/01/01",True
15040800,6,"ベオウルフ","MONS_15040800",0,6,"闇",,"神話の王の名を冠する個体。<br>四本の剣による広い攻撃範囲を<br>持つため、不要な接近は控える<br>ことを推奨する。","2019/01/01",True
15040900,6,"ドルグスラシル","MONS_15040900",0,5,"聖",,"異形の触手を携えた個体。近接<br>攻撃と魔法攻撃を状況に応じて<br>使い分ける。","2019/01/01",True
15041000,6,"ミーミル","MONS_15041000",0,5,"聖","火・水","北欧神話の巨人の名を持つ個<br>体。基本能力の向上に加え、召<br>喚するMobも非常に強力。迅速<br>な対処が必要。","2019/01/01",True
15041100,6,"ベルゲルミル","MONS_15041100",0,1,"火","水","その名から、≪ALO≫由来の個<br>体と推測される。範囲の広い攻<br>撃に注意が必要。火属性が弱点<br>のため、対策を推奨。","2019/01/01",True
15050000,3,"ヘル","MONS_15050000",3,0,"突・風・聖","斬・打・土","北欧神の名を冠する個体。同系<br>統他種に比べ、高い攻撃力と強<br>力な状態異常攻撃を持つ。特に<br>毒攻撃へは対策を強く推奨。","2019/01/01",True
15050100,6,"スカジ","MONS_15050100",0,2,"水","火","機械人形のような姿の個体。近<br>接打撃、巨大な矢の射撃等、多<br>様な攻撃方法があるため動きの<br>見極めが重要と考えられる。","2019/01/01",True
15050200,6,"ヤールンサクサ","MONS_15050200",0,2,"水","火・聖","女巨人の名を持つ≪スカジ≫同<br>系統種。一撃あたりの被ダメー<br>ジが大きいため、被弾を極力減<br>らすための立ち回りを推奨。","2019/01/01",True
15050300,3,"ランドクリーズ","MONS_15050300",3,0,"突・火・風・聖","斬・打・土","蜂と人を掛け合わされた姿の個<br>体。尾部による刺突には状態異<br>常効果がある為、堅実な観察と<br>確実な防御を推奨する。","2019/01/01",True
15050400,3,"ナンナ","MONS_15050400",3,0,"突・火・風","斬・打・土","≪ランドクリーズ≫の同系統種<br>と同定。毒攻撃が強力になって<br>おり非常に危険。","2019/01/01",True
15050500,6,"アウルボダ","MONS_15050500",0,1,"火","水","≪スカジ≫系統種。基本能力の<br>向上と共に危険度も上昇。封印<br>・混乱等の状態異常攻撃を行う<br>ため、注意が必要。","2019/01/01",True
15080000,5,"スィアチ","MONS_15080000",3,0,"突・火・風","土","巨大な蝙蝠を思わせる姿の個<br>体。翼を利用した攻撃や素早い<br>突進には注意が必要だが、攻撃<br>後には多少の隙ができる。","2019/01/01",True
15080100,5,"フレースヴェルグ","MONS_15080100",3,0,"突・風","土","北欧神話の巨人の名を持つ個<br>体。≪スィアチ≫と比べ、各種<br>能力の向上が見られ、闘争志向<br>がより強くなっている。","2019/01/01",True
15080200,5,"フィヨルズヴァルトニル","MONS_15080200",3,0,"突・風","水・土","≪スィアチ≫の同系統種と同<br>定。同系統他種と比して各種能<br>力が非常に高く、遠距離からの<br>攻撃を多用する傾向がある。","2019/01/01",True
15090000,8,"ヨルムンガンド","MONS_15090000",0,2,"水・土","火・風","三つの頭を持つ大蛇。突進攻撃<br>のほか、尾、ブレスによる攻撃<br>も行う。突進攻撃は非常に速度<br>が速いため注意が必要。","2019/01/01",True
15090100,8,"ニーズヘッグ","MONS_15090100",0,4,"土","火・風","≪ヨルムンガンド≫の同系統<br>種。頭部が弱点だが近接攻撃で<br>は届かない位置にあるため、倒<br>れさせてからの攻撃が有効。","2019/01/01",True
15100000,8,"グレンデル","MONS_15100000",0,1,"火・土","水・風","四足歩行の獣または竜と思われ<br>る個体。名称から≪ALO≫由来<br>と推測される。周囲は危険なた<br>め距離の見極めが重要となる。","2019/01/01",True
15100100,8,"ベルグリシ","MONS_15100100",0,2,"水・土","風","≪グレンデル≫系統種と同定。<br>土属性の攻撃を行うため、属性<br>対策を推奨する。頭部が弱点。","2019/01/01",True
15100200,8,"ファールバウティ","MONS_15100200",0,2,"水・土","火・風","北欧の古語で≪無情に打つもの<br>≫を意味する個体。その名の通<br>り巨体による打撃が強力。炎攻<br>撃も行う非常に危険な存在。","2019/01/01",True
15110000,8,"ラタトスク","MONS_15110000",0,1,"火・土・聖","水","四つ足の竜。突進およびブレス<br>による攻撃を主とする。突然行<br>われる突進に注意。","2019/01/01",True
15110100,8,"リンドブルム","MONS_15110100",0,2,"水・土・闇","火","≪ラタトスク≫の同系統種と同<br>定。火属性の強力なブレスを行<br>うため注意が必要。水属性が弱<br>点との情報がある。","2019/01/01",True
15140000,7,"チェルノボグ","MONS_15140000",0,5,"打・水・土・聖","火・風","髑髏が施された異形の戦車。時<br>折放たれる標的を狙った弾は状<br>態異常効果を持つため、退避を<br>強く推奨。","2019/01/01",True
15140100,7,"アバドーン","MONS_15140100",0,5,"打・火・土・聖","水・風","≪チェルノボグ≫同系統種。遠<br>距離攻撃・近接攻撃ともにダメ<br>ージが大きく向上した、大変危<br>険な存在。","2019/01/01",True
15150000,5,"ハティ","MONS_15150000",0,4,"火・土","風","猛獣に酷似した個体。素早い動<br>きと攻撃に加え、毒効果の付与<br>も行う。被弾が避けられない場<br>合に備え毒対策を推奨する。","2019/01/01",True
15150100,5,"スコル","MONS_15150100",0,2,"水・土","火・風","赤く燃えるような毛並みを持つ<br>獣の個体。≪ハティ≫とは異な<br>り火属性攻撃を行うため、属性<br>対策を推奨する。","2019/01/01",True
15170000,5,"ガングレト","MONS_15170000",3,0,"突・風","土","ヘルに従属する、巨大な怪鳥型<br>の個体。近接攻撃では弱点の頭<br>部に届かないため、地上に落と<br>すことを推奨。","2019/01/01",True
15170100,5,"ガングラティ","MONS_15170100",3,0,"突・風","土","ヘルに従属する、巨大な怪鳥型<br>の個体。遠距離からの強力な攻<br>撃に加え、自己回復も行う。注<br>意しつつも迅速な対応を推奨。","2019/01/01",True
15180000,5,"ジ・アンブレイカブル","MONS_15180000",0,4,"土・聖","水・風","亀に似た姿の個体。積極的な移<br>動は少ないが全方位に向けて激<br>しい攻撃を行う。防御力も非常<br>に高く長期戦への備えを推奨。","2019/01/01",True
15180100,5,"ゴッズツローン","MONS_15180100",0,4,"土・闇","水・風・聖","≪ジ・アンブレイカブル≫の同<br>系統種と同定。主だった特徴は<br>同様となるが、超弩級の身体か<br>ら繰り出す攻撃は大変危険。","2019/01/01",True
15200000,7,"カローン","MONS_15200000",0,5,"火・聖","斬・打・突","死神を模した姿を持つ個体。特<br>定条件において、炎攻撃を行う<br>ことが確認されている。","2019/01/01",True
15200100,7,"デス","MONS_15200100",0,5,"火・聖","斬・打・突","死を意味する名を持つ個体。危<br>険度は非常に高い。大威力の鎌<br>と召喚するファントムへの警戒<br>を怠らぬことを強く推奨。","2019/01/01",True
15212000,1,"ディアボロス","MONS_15212000",0,5,"水・聖",,"武装した魔人。両手の武器を用<br>いた格闘攻撃を行う。特定条件<br>下で鎧を外し、高速で攻撃を行<br>うようになるため注意が必要。","2019/01/01",True
15212100,1,"サタナキア","MONS_15212100",0,2,"水","火","≪ディアボロス≫同系統種。全<br>身に炎を纏った魔人。特殊なバ<br>リアを操るほか、体力損耗時に<br>鎧を装着するなど防御に特化。","2019/01/01",True
15220000,10,"パノプティコン","MONS_15220000",0,2,"水","火・聖","逆さにしたイースターエッグの<br>ような個体。周囲に現れる子機<br>を用い多種多様な攻撃を行う。","2019/01/01",True
15220100,10,"プロビデンス","MONS_15220100",0,5,"水・聖",,"≪パノプティコン≫同系統種。<br>闇属性の攻撃を多用する。非常<br>に高い物理防御力を持つため、<br>魔法での攻撃を推奨。","2019/01/01",True
15300000,2,"デトネイター・ザ・コボルドロード","MONS_15300000",0,2,"水・闇","火","≪SAO≫第一層ボス同系統種と<br>同定。行動パターンの一致性は<br>未確認だが強力かつ広範囲に及<br>ぶ攻撃は同様のため要注意。","2019/01/01",True
15301000,2,"イルファング・ザ・コボルドロード","MONS_15301000",0,2,"水・闇",,"≪SAO≫第一層ボスと同種の個<br>体。広範囲への強力な攻撃には<br>同系統種同様警戒を推奨する。","2019/01/01",True
15310000,7,"ホロウ・リーパー","MONS_15310000",0,5,"火・土・聖","突・風","≪スカルリーパー≫系統種。同<br>系統他種よりも腕の数が多く、<br>激しい攻撃を行う。一方で弱点<br>属性が多いので対策を推奨。","2019/01/01",True
15311000,7,"スカルリーパー","MONS_15311000",0,1,"火","突・風","≪SAO事件≫の報告書に記され<br>たものに酷似した個体。多数を<br>巻き込む強力な一撃を持つ非常<br>に危険な存在。","2019/01/01",True
15420000,4,"アメディスター・ザ・クイーン","MONS_15420000",0,1,"火・土","風","蠍と酷似した個体。広範囲に及<br>ぶ吐毒への警戒と対策を充分に<br>しての交戦を推奨する。","2019/01/01",True
15430000,4,"アントクイーン","MONS_15430000",0,1,"打・火・土","突・風","極大化した蟻。諸特徴から女王<br>蟻と推測される。働き蟻の召喚<br>と囲い込みに注意。","2019/01/01",True
15440000,4,"レイディアンスイーター","MONS_15440000",2,1,"打・火・土","風","巨大な蟻地獄を模した個体。地<br>面に潜伏することがあり、攻撃<br>を当てるのが難しい。流砂に足<br>をとられないよう注意が必要。","2019/01/01",True
15450000,4,"ラーヴァクリーパー","MONS_15450000",2,1,"打・火・土","風","蜘蛛型の巨大個体。蜘蛛の巣を<br>放ち相手の行動を封じる特性が<br>ある。手下を呼び出すため早め<br>の対処を推奨。","2019/01/01",True
15500000,2,"グリームアイズ","MONS_15500000",0,5,"斬・聖",,"過去≪SAO≫にて確認されてい<br>る非常に危険な個体。近距離・<br>遠距離ともに豊富な攻撃を行う<br>ため、常に警戒が必要。","2019/01/01",True
15501000,2,"ガストアイズ","MONS_15501000",0,5,"斬・聖",,"≪グリームアイズ≫亜種。風系<br>統の強力な攻撃を持つほか、こ<br>ちらを衰弱させる状態異常攻撃<br>や回復能力を持つ危険な相手。","2019/01/01",True
15510000,1,"スリュム","MONS_15510000",0,1,"斬・火・闇","水","常人の数倍はある巨躯をもつ個<br>体。近接、遠距離多様な攻撃方<br>法を持っているため、立ち回り<br>には細心の注意が必要。","2019/01/01",True
15520000,7,"カガチ・ザ・サムライロード","MONS_15520000",0,6,"闇",,"鎧に身を包んだ個体。左腕の蛇<br>による遠距離攻撃があり、遠近<br>共に警戒すべき相手。体力を損<br>耗すると二刀流に変化する。","2019/01/01",True
15521000,7,"ロン・ザ・ショーグングレイス","MONS_15521000",0,0,,"斬・打・突","≪カガチ・ザ・サムライ<br>ロード≫系統種。左腕の蛇が竜<br>に進化を遂げ、更なる火力を誇<br>る。カウンター攻撃に要警戒。","2019/01/01",True
15530000,5,"ゴッズペット","MONS_15530000",0,2,"水","火","非常に危険な≪GGO≫由来の個<br>体。不要な接近は避け、<br>レーザーの直撃を受けないよう<br>立ち回ることを推奨。","2019/01/01",True
15540000,10,"COPY DATA==4B9","MONS_15540000",0,0,,,"《ラフィン・コフィン》の一員<br>のコピーデータ。片手剣を用い<br>て戦う。その残忍さは健在であ<br>るため十分な警戒を推奨。","2019/01/01",True
15541000,10,"COPY DATA==F96","MONS_15541000",0,0,,,"《ラフィン・コフィン》の一員<br>のコピーデータ。細剣を用いて<br>戦う。純粋な戦闘力だけを見て<br>も危険な相手。","2019/01/01",True
15542000,10,"COPY DATA==444","MONS_15542000",0,0,,,"《ラフィン・コフィン》の一員<br>のコピーデータ。短剣を用いて<br>戦う。どんな卑劣な手を使おう<br>と標的の殺害を遂行する。","2019/01/01",True
15550000,6,"背教者ニコラス","MONS_15550000",0,1,"火","水","奇抜な服装に身を包んだ巨大<br>モンスター。斧だけでなく、袋<br>による殴打やプレゼントによる<br>トリッキーな攻撃も行う。","2019/01/01",True
15560000,10,"スピリット・ザ・グースロード","MONS_15560000",0,1,"火・土","水","≪SAO≫においては湖の主とし<br>て確認されているが、生息範囲<br>を海まで広げた模様。元は魚で<br>ある故か、火属性攻撃が苦手。","2019/01/01",True
15570000,10,"FA-R D-496型","MONS_15570000",0,2,"水","斬・打・突・火・風・土・聖・闇","暴走した防衛装置。搭載された<br>AIが状況にあわせ装備を組み替<br>える。装甲は堅いが、オーバー<br>ヒート時に大きな隙が出来る。","2019/01/01",True
15590000,7,"冥界王ハーデス","MONS_15590000",0,0,,,"弱点らしい弱点が無く、多様な<br>属性攻撃を使い分ける非常に危<br>険な相手。討伐は困難なため、<br>発見した際は迂回を推奨。","2019/01/01",True
10580000,10,"COPY DATA==H69","MONS_10000000",1,4,"斬・土","打・風","≪ALO事件≫において違法研究を<br>行っていた研究員のアバターの<br>コピーデータ。生理的嫌悪を感じ<br>させる見た目をしている。","2019/01/01",True
10590000,10,"EX200型ドローン","MONS_10590000",3,2,"突・水・風","土","FA-Rの統制下で掃討活動を行う<br>高性能防衛システムドローン。<br>戦闘AIを搭載しており単体での<br>活動も可能。","2019/01/01",True
15511000,1,"スルト","MONS_15511000",0,2,"水","火","神話の中で世界を焼き尽くすと<br>予言されている巨人。炎を多彩<br>に操るほか、燃え盛る身体を持<br>ち触れる者を負傷させる。","2020/02/26 7:00:00",True
15312000,7,"カースド・リーパー","MONS_15312000",0,4,"土",,"≪スカルリーパー≫系統種。身<br>体が非常に大きく、耐久力も高<br>い上、同系統種を召喚する危険<br>な相手。弱点の足が狙い目。","2020/06/23 7:00:00",True
15030000,10,"ラーン","MONS_15030000",0,1,"火・土","斬・打・突・水","高速で水面を移動し、仲間を<br>生み出しながら戦う海神。花弁<br>に守られた人型の本体が弱点の<br>ため回復時などの隙が狙い目。","2020/08/25 7:00:00",True
15160000,10,"フェアドレング","MONS_15160000",2,0,"打","斬・突","人々を抑制する特殊な精神体。<br>歩行せずテレポートにより移動<br>する。多数の腕から繰り出され<br>る多彩な攻撃に注意。","2020/11/03 7:00:00",True
15131000,3,"ベルゼブブ","MONS_15131000",0,3,"風","火・土","地獄を統べる巨大な蟲の王。<br>多くの蟲を指揮し、一斉に攻撃<br>してくる。補佐官たるMobを<br>召喚すると攻撃属性が変わる。","2021/01/12 7:00:00",True
15212200,1,"マモン","MONS_15212200",0,0,,,"人々の富と欲を纏った黄金の堕<br>天使。Mobを従えている間は<br>鎧で身を固めているが、鎧を脱<br>ぐと6属性の内どれかを纏う。","2021/03/09 7:00:00",True
15502000,7,"テラーアイズ","MONS_15502000",0,5,"斬・聖",,"≪グリームアイズ≫亜種。怨霊<br>の集合体であり、半透明の間は<br>受けた攻撃がすり抜ける厄介な<br>相手。憎悪の剣は非常に強力。","2021/05/11 7:00:00",True
10000000,1,"守護騎士","MONS_10000000",3,0,"打・突・闇","土","≪ALO≫初期のグランド・クエス<br>トに登場した個体と同定。その<br>戦闘力は脅威だが、記録と違い<br>無限に出現するわけではない。","2019/01/01",True
10000100,1,"重装守護騎士","MONS_10000100",3,0,"打・突・闇","土","≪守護騎士≫上級種。当該系統種<br>は危険度が高く、特にこの重装守<br>護騎士は危険な種である。","2019/01/01",True
10000200,1,"守護騎士・射手","MONS_10000200",3,0,"打・突・闇","土","遠方より攻撃を行う≪守護騎士≫<br>系統の個体。交戦する場合は絶え<br>ず移動を行うことを推奨する。","2019/01/01",True
10000300,1,"守護騎士・狙撃手","MONS_10000300",3,0,"打・突・闇","土","≪守護騎士・射手≫の上級種。高<br>威力の射撃攻撃は大変危険なため<br>早急に仕留めることを推奨する。","2019/01/01",True
10010000,8,"イビルグランサー","MONS_10010000",3,0,"突・風・聖","土","一つ目の小龍。さして脅威もなく<br>おそらくゲーム序盤のプレイヤー<br>へ向けた種と思われる。","2019/01/01",True
10010100,8,"フライングテイル","MONS_10010100",3,0,"突・火・風","土","遠距離から攻撃を行う種だが、近<br>づいた際の引?きには毒効果があ<br>るため遠近共に注意が必要。","2019/01/01",True
10010200,8,"ヴァイスグレア","MONS_10010200",3,0,"突・風・聖","土","主に遠距離攻撃を行う≪イビルグ<br>ランサー≫の変種。各種パラメー<br>タが強化されているため、軽率な<br>行為は禁物。","2019/01/01",True
10010300,8,"フーピー・ドラゴン","MONS_10010300",3,0,"突・風・聖","土","≪イビルグランサー≫最上級種。<br>能力の高さもさることながら、引<br>?きに封印効果があるため、細心<br>の注意を以て対応にあたること。","2019/01/01",True
10020000,8,"クアジット","MONS_10020000",3,0,"斬・突・火・風","打・土","ボールに羽根が生えたような形状<br>をした個体。好戦的だが弱く脅威<br>性は薄い。まれに風属性の遠距離<br>攻撃を行う個体が確認される。","2019/01/01",True
10020100,8,"ドゥアジット","MONS_10020100",3,0,"斬・突・水・風","打・火・土","≪クアジット≫上級種。同系統種<br>は浮遊状態のため、戦闘には慣れ<br>が必要と思われる。まれに火属性<br>攻撃を行う個体が確認される。","2019/01/01",True
10020200,8,"プチデビル","MONS_10020200",3,0,"斬・突・火・風","打・水・土","≪クアジット≫の変種と同定。距<br>離をとって攻撃を行うため他個体<br>と異なる戦術が必要。まれに水属<br>性攻撃を行う個体が確認される。","2019/01/01",True
10020300,8,"スフィアドラコ","MONS_10020300",3,0,"斬・突・風・聖","打・土","≪クアジット≫希少種。必ず仕留<br>めることを推奨。まれに闇属性の<br>遠距離攻撃を行う個体が確認され<br>る。","2019/01/01",True
10020400,8,"ボム・スフィア","MONS_10020400",3,0,"斬・突・水・風","打・火・土","標的に接近し自爆を行う極めて危<br>険な個体。発見次第処理するか、<br>爆発範囲外への避難を強く推奨。","2019/01/01",True
10030000,4,"シルキー","MONS_10030000",3,0,"突・火・風","土","妖精の一種の名を冠する個体。周<br>囲に毒を散布するため、接近には<br>細心の注意を以てあたること。","2019/01/01",True
10030100,4,"シルキー・ベイン","MONS_10030100",3,0,"突・火・風","土","≪シルキー≫の一種。混乱効果を<br>もつ鱗粉を散布するため、遠距離<br>よりの攻撃が望ましい。","2019/01/01",True
10030200,4,"イビル・レイス","MONS_10030200",3,0,"突・火・風","土","≪シルキー≫上級種。接近時の毒<br>散布に加え、風属性の遠距離攻撃<br>を有する危険な個体。","2019/01/01",True
